Group: aopalliance | Artifact: aopalliance | Version: 1.0
Group: org.apache.httpcomponents.core5 | Artifact: httpcore5 | Version: 5.3.6
Group: org.apache.httpcomponents.core5 | Artifact: httpcore5-h2 | Version: 5.2
Group: org.apache.httpcomponents.core5 | Artifact: httpcore5-h2 | Version: 5.2.4
Group: org.apache.httpcomponents.core5 | Artifact: httpcore5-h2 | Version: 5.3.6
Group: org.apache.kafka | Artifact: kafka-clients | Version: 3.6.1
Group: org.apache.logging.log4j | Artifact: log4j-api | Version: 2.14.1
Group: org.apache.logging.log4j | Artifact: log4j-api | Version: 2.20.0
Group: org.apache.logging.log4j | Artifact: log4j-api | Version: 2.21.1
Group: org.apache.logging.log4j | Artifact: log4j-api | Version: 2.24.3
Group: org.apache.logging.log4j | Artifact: log4j-to-slf4j | Version: 2.14.1
Group: org.apache.logging.log4j | Artifact: log4j-to-slf4j | Version: 2.20.0
Group: org.apache.logging.log4j | Artifact: log4j-to-slf4j | Version: 2.21.1
Group: org.apache.logging.log4j | Artifact: log4j-to-slf4j | Version: 2.24.3
Group: org.apache.maven | Artifact: maven-archiver | Version: 2.5
Group: org.apache.maven | Artifact: maven-archiver | Version: 3.6.0
Group: org.apache.maven | Artifact: maven-archiver | Version: 3.6.2
Group: org.apache.maven | Artifact: maven-artifact | Version: 2.0.6
Group: org.apache.maven | Artifact: maven-artifact | Version: 2.0.9
Group: org.apache.maven | Artifact: maven-artifact | Version: 3.0
Group: org.apache.maven | Artifact: maven-artifact-manager | Version: 2.0.6
Group: org.apache.maven | Artifact: maven-artifact-manager | Version: 2.0.9
Group: org.apache.maven | Artifact: maven-core | Version: 2.0.6
